Item Name,Game Name,Listed On,Acted On, Display Price, Price in Cents, Type, Market Name, App Id, Context Id, Asset Id, Instance Id, Class Id, Unowned Context Id, Unowned Id
"Just the Two of Us","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 404.60","40460","purchase","2876250-Just the Two of Us","753","6","33098979605","0","5964878557","6","33439959295"
"Childhood Memories","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.97","40797","purchase","2876250-Childhood Memories","753","6","33415702370","0","5964878542","6","33441651976"
"Experiment","Kanna Maze Trading Card","11 Mar	
		6 Mar","11 Mar	
		6 Mar","Rp 526.10","52610","purchase","2876250-Experiment","753","6","33018599451","0","5964878570","6","33743291274"
"Promise","Kanna Maze Trading Card","11 Mar	
		6 Mar","11 Mar	
		6 Mar","Rp 403.96","40396","purchase","2876250-Promise","753","6","33573521237","0","5964878539","6","33743689642"
"Childhood Memories","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.97","40797","purchase","2876250-Childhood Memories","753","6","33415702372","0","5964878542","6","33441651973"
"Promise","Kanna Maze Trading Card","11 Mar	
		6 Mar","11 Mar	
		6 Mar","Rp 403.96","40396","purchase","2876250-Promise","753","6","33573521233","0","5964878539","6","33743689645"
"Experiment","Kanna Maze Trading Card","11 Mar	
		6 Mar","11 Mar	
		6 Mar","Rp 524.65","52465","purchase","2876250-Experiment","753","6","33018599450","0","5964878570","6","33743291270"
"Childhood Memories","Kanna Maze Trading Card","11 Mar	
		11 Oct","11 Mar	
		11 Oct","Rp 392.11","39211","purchase","2876250-Childhood Memories","753","6","31441331935","0","5964878542","6","31845000587"
"Experiment","Kanna Maze Trading Card","11 Mar	
		6 Mar","11 Mar	
		6 Mar","Rp 524.65","52465","purchase","2876250-Experiment","753","6","33018599449","0","5964878570","6","33743291264"
"Promise","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 401.70","40170","purchase","2876250-Promise","753","6","33691937336","0","5964878539","6","33765493216"
"Shadow Case","Counter-Strike 2","11 Mar	
		11 Mar","11 Mar	
		11 Mar","Rp 30 672.96","3067296","sale","Shadow Case","730","2","42219284666","302028390","1293508920","2","42219284666"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165501","0","5964878545","6","33441667013"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165497","0","5964878545","6","33441667016"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165469","0","5964878545","6","33441667018"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165508","0","5964878545","6","33441667009"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456291","0","5964878543","6","33764678598"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456293","0","5964878543","6","33764694673"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456290","0","5964878543","6","33764694599"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456292","0","5964878543","6","33764678594"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165525","0","5964878545","6","33441667000"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165522","0","5964878545","6","33441667002"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165531","0","5964878545","6","33441666997"
"Rain Shelter","Kanna Maze Trading Card","11 Mar	
		3 Feb","11 Mar	
		3 Feb","Rp 407.80","40780","purchase","2876250-Rain Shelter","753","6","32956165518","0","5964878545","6","33441667006"
"Just the Two of Us","Kanna Maze Trading Card","11 Mar	
		16 Dec","11 Mar	
		16 Dec","Rp 392.11","39211","purchase","2876250-Just the Two of Us","753","6","30332429985","0","5964878557","6","32512219153"
"Just the Two of Us","Kanna Maze Trading Card","11 Mar	
		16 Dec","11 Mar	
		16 Dec","Rp 392.11","39211","purchase","2876250-Just the Two of Us","753","6","30332429983","0","5964878557","6","32512219149"
"Just the Two of Us","Kanna Maze Trading Card","11 Mar	
		16 Dec","11 Mar	
		16 Dec","Rp 392.11","39211","purchase","2876250-Just the Two of Us","753","6","30332429977","0","5964878557","6","32512219151"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456286","0","5964878543","6","33764678595"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456289","0","5964878543","6","33764678596"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456287","0","5964878543","6","33764678597"
"Waiting for Rescue","Kanna Maze Trading Card","11 Mar	
		8 Mar","11 Mar	
		8 Mar","Rp 397.49","39749","purchase","2876250-Waiting for Rescue","753","6","33350456288","0","5964878543","6","33764694600"
